index,address_1,address_2,name,expiration_date
1,2 PUŁKU LOTNICZEGO,4C,OLBRYCHT JOLANTA,2022-02-08
2,28 LIPCA 1943,17 A,"ARS MODI A. BRĄGIEL, R. ZIELIŃSKI SPÓŁKA JAWNA",2020-10-20
3,28 LIPCA 1943,17A,"ARS MODI A. BRĄGIEL, R. ZIELIŃSKI SPÓŁKA JAWNA",2023-06-04
4,29 LISTOPADA,50,ARKA SPÓŁKA Z OGRANICZONA ODPOWIEDZIALNOSCIA,2027-02-11
5,29 LISTOPADA,116,"BAŁAZIŃSKA ANNA, HARBUT ŁUKASZ",2021-12-20
6,29 LISTOPADA,57-59,MIŚKIEWICZ ZUZANNA,2023-04-30
7,29 LISTOPADA,94B,ŻYBULA TOMASZ,2022-11-08
8,3 MAJA,9,PARK CLUB RESTAURACJA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA,2023-10-14
9,ADAMA BOCHENKA,16A,"KONTYNENTY BAJOR, ZYGMUNT SPÓŁKA JAWNA",2022-12-31
10,AL. SŁOWACKIEGO,64,"MUSZYŃSKI MATEUSZ, HEKERLE GRZEGORZ",2021-10-31
11,ALBATROSÓW,18/2,NGUYEN THI,2027-03-21
12,ALEJA 29 LISTOPADA,137,GRABOWSKI ZDZISŁAW,2022-08-27
13,ALEJA 29 LISTOPADA,189,WM HOTEL SYSTEM SPÓŁKA Z O. O.,2023-05-20
14,ALEJA 3 MAJA,5,FUNDACJA STUDENTÓW I ABSOLWENTÓW UNIWERSYTETU JAGIELLOŃSKIEGO BRATNIAK,2021-04-25
15,ALEJA 3 MAJA,55,WISTERIA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWO-AKCYJNA,2023-09-16
16,ALEJA GEN. TADEUSZA BORA- KOMOROWSKIEGO,37,DOMINIUM S. A.,2023-04-23
17,ALEJA IGNACEGO DASZYŃSKIEGO,5,SOBÓL URSZULA,2026-03-05
18,ALEJA JANA PAWŁA II,37,VINST SPÓŁKA Z O. O.,2022-05-14
19,ALEJA JANA PAWŁA II,70,PRZEDSIĘBIORSTWO WIELOBRANŻOWE WAGABUNDA I SP. Z O.O.,2023-03-03
20,ALEJA JANA PAWŁA II,78,"BYTOWSKI MAREK, BIERNACKI MARIUSZ",2020-06-30
21,ALEJA KASZTANOWA,1,EKOCENTRYK SPÓŁKA Z O. O.,2023-05-21
22,ALEJA KRASIŃSKIEGO,19/7,"STEFAŃCZYK MONIKA, SOWA MICHAŁ",2019-12-11
23,ALEJA MARSZAŁKA FERDINANDA FOCHA,40,HOTEL FUNDACJI PBR SPÓŁKA Z OGRANICZONA ODPOWIEDZIALNOSCIA,2027-02-11
24,ALEJA MASZAŁKA FOCHA,1,DE BIAŁYNIA WOYCIKIEWICZ DINA,2026-12-29
