index,address_1,address_2,name,expiration_date
1,28 LIPCA 1943,17A,"BRAGIEL AGNIESZKA, ZIELIŃSKI RAFAŁ",2018-06-04
2,28 LIPCA 1943,17A,"BRĄGIEL AGNIESZKA, ZIELIŃSKI RAFAŁ",2018-10-20
3,29 LISTOPADA,57,"SZYWAŁA JERZY, SZYWAŁA HALINA",2021-12-20
4,29 LISTOPADA,116,"BAŁAZIŃSKA ANNA, HARBUT ŁUKASZ",2021-12-20
5,29 LISTOPADA,155C,"BARTELAK MAŁGORZATA, OCZAK IZABELA",2018-11-30
6,AL. SŁOWACKIEGO,64,"MUSZYŃSKI MATEUSZ, KOLASA GRZEGORZ",2021-10-31
7,ALEJA 29 LISTOPADA,50,ARKA SPÓŁKA Z O. O.,2019-02-11
8,ALEJA 29 LISTOPADA,63,WOŁOWIEC SZYMON,2018-05-07
9,ALEJA 29 LISTOPADA,137,GRABOWSKI ZDZISŁAW,2017-08-27
10,ALEJA 29 LISTOPADA,189,WM HOTEL SYSTEM SPÓŁKA Z O. O.,2018-05-20
11,ALEJA 3 MAJA,5,FUNDACJA STUDENTÓW I ABSOLWENTÓW UNIWERSYTETU JAGIELLOŃSKIEGO BRATNIAK,2021-04-25
12,ALEJA DASZYŃSKIEGO,5,SOBÓL URSZULA,2018-03-05
13,ALEJA GEN. BORA- KOMOROWSKIEGO,37,"""DOMINIUM"" S. A.",2018-04-23
14,ALEJA GEN. BORA- KOMOROWSKIEGO,37,SFINKS POLSKA S.A.,2017-11-18
15,ALEJA GEN. BORA- KOMOROWSKIEGO,37,AMREST SPÓŁKA Z O. O.,2018-10-29
16,ALEJA GEN. BORA- KOMOROWSKIEGO,37,SZEWCZYK RENATA,2019-10-18
17,ALEJA GEN. BORA- KOMOROWSKIEGO,39,ZALEJSKI WIESŁAW,2020-03-11
18,ALEJA IGNACEGO DASZYŃSKIEGO,8/U01,PM FOOD SPÓŁKA Z O. O.,2020-07-12
19,ALEJA JANA PAWŁA II,37,VINST SPÓŁKA Z O. O.,2019-05-14
20,ALEJA JANA PAWŁA II,70,PRZEDSIĘBIORSTWO WIELOBRANŻOWE WAGABUNDA I SPÓŁKA Z O. O.,2018-03-03
21,ALEJA KASZTANOWA,1,EKOCENTRYK SPÓŁKA Z O. O.,2020-05-21
22,ALEJA KIJOWSKA,40 lok. 1 i 2,"ZAWADZKI MICHAŁ, KOWALSKA MAGDALENA",2020-02-26
23,ALEJA KRASIŃSKIEGO,1,VIDOK  SPÓŁKA Z O.O. SPÓŁKA KOMANDYTOWA,2018-08-13
24,ALEJA KRASIŃSKIEGO,19/7,"STEFAŃCZYK MONIKA, SOWA MICHAŁ",2019-12-11
25,ALEJA MARSZAŁKA FERDYNANDA FOCHA,41,JURKA RAFAŁ,2021-05-11
26,ALEJA MARSZAŁKA FOCHA,42,RESTBAR SPÓŁKA Z O. O. SPÓŁKA KOMANDYTOWA,2018-08-05
27,ALEJA POKOJU,44,"""ICE CAFE"" SPÓŁKA Z O. O.",2017-11-13
28,ALEJA POKOJU,44,BIELA ARKADIUSZ,2020-04-15
29,ALEJA POKOJU,44,PINK BOWLING SPÓŁKA Z O. O.,2021-03-15
30,ALEJA POKOJU,67,"STANEK ZBIGNIEW, STANEK ANDRZEJ",2017-02-14
31,ALEJA POKOJU,67,AMREST SPÓŁKA Z O. O.,2018-07-16
32,ALEJA POKOJU,67,SFINKS POLSKA S.A.,2017-06-22
33,ALEJA POKOJU,67,SŁAWIK ANTONI,2020-08-06
34,ALEJA POKOJU,67,MOLEK RYSZARD,2021-01-14
35,ALEJA POKOJU,67,"CISOWSKI PAWEŁ, GALOS ADAM",2021-03-16
36,ALEJA POKOJU,81,"DYLĄG SYLWIA, PISKORZ GRZEGORZ",2021-01-17
37,ALEJA POKOJU,14A,BORZYM GRAŻYNA,2020-03-24
38,ALEJA SŁOWACKIEGO,22,KULIŃSKA-SULKIEWICZ BOGUMIŁA,2020-01-07
39,ALEJA SŁOWACKIEGO,64,BARAŃSKA ANNA,2018-01-13
40,ALEJA SOLIDARNOŚCI,20,WOŹNIAK BEATA,2020-12-13
41,ALEJA WASZYNGTONA,1,KUSEK MAGDALENA,2019-02-23
42,ALEJA WASZYNGTONA,1,"MIKURDA BARBARA, CHECHELSKI ADAM",2019-06-17
43,ALEKSANDRA LUBOMIRSKIEGO,41,"SUCHORZEPKA TOMASZ, KMAK TOMASZ",2020-08-31
44,ALEKSANDRA LUBOMIRSKIEGO,51/4,WIGGINS SPÓŁKA Z O.O.,2021-04-20
45,ALEKSANDRA LUBOMIRSKIEGO,"51 lok. 1, 2",DO QUANG HAI,2021-10-09
46,ALEKSANDRY,30,WBA BRACIA BARŁOWSCY SPÓŁKA JAWNA,2021-09-12
47,ANDRZEJA MAŁKOWSKIEGO,5,LOCH MAŁGORZATA,2020-04-28
48,ARMII KRAJOWEJ,6,"OLEKSIAK KRYSTYNA, OLEKSIAK KRZYSZTOF",2019-02-14
49,ARMII KRAJOWEJ,11,ORBIS S.A. ODDZIAŁ HOTEL NOVOTEL KRAKÓW CITY WEST W KRAKOWIE,2018-07-12
50,ARMII KRAJOWEJ,11,ZJEDNOCZONE PRZEDSIĘBIORSTWA ROZRYWKOWE S. A.,2018-03-11
51,ARMII KRAJOWEJ,19,SOBIESŁAW ZASADA SPÓŁKA AKCYJNA SPÓŁKA KOMANDYTOWO-AKCYJNA,2020-01-20
52,AUGUSTIAŃSKA,4,POPLAWSKA DOROTA,2017-08-09
53,BALICKA,2,CZAJA TOMASZ,2020-02-16
54,BALICKA,18,STACH DANIEL,2017-07-03
55,BALICKA,18,"ZAKRZEWSKA JOANNA, ZAKRZEWSKI PIOTR, GRZYWACZ HALINA",2019-07-07
56,BALICKA,324,KUBALA ANNA,2019-05-07
57,BALICKA,14A,MAG SPÓŁKA Z O. O.,2021-01-13
58,BALICKA,18A,KWAPISZ SYLWIA,2017-08-09
59,BARSKA,2,"FIRMA BUDOWLANA STAMBUD MAŁGORZATA MRÓZ, STANISŁAW MRÓZ SPÓŁKA JAWNA",2018-07-09
60,BARSKA,61A / LU1,MASIUDA MARTA,2019-09-01
61,BARTOSZA GŁOWACKIEGO,22,PRZEDSIĘBIORSTWO USŁUG TURYSTYCZNO-HANDLOWYCH DEMEL SPÓŁKA Z O. O.,2020-05-18
62,BASZTOWA,17,"KIJOWSKI ROBERT, KIJOWSKI ADRIAN, KIJOWSKA BEATA",2019-07-09
63,BASZTOWA,25,KOMUSIŃSKI STANISŁAW,2018-01-31
64,BELWEDERCZYKÓW,3,SYLWIA STYL G. TAŁACH SPÓŁKA JAWNA,2018-08-31
65,BENEDYKTYŃSKA,37,BENEDICITE JEDNOSTKA GOSPODARCZA OPACTWA BENEDYKTYNÓW W TYŃCU,2020-11-16
66,BENEDYKTYŃSKA,37,BENEDICITE JEDNOSTKA GOSPODARCZA OPACTWA BENEDYKTYNÓW W TYŃCU,2020-11-16
67,BENEDYKTYŃSKA,50,WCISŁO ANNA,2018-03-06
68,BERKA JOSELEWICZA,23,PANGEA SP. Z O.O.,2020-04-21
69,BERKA JOSELEWICZA,18/LU1,SASSI LUCYNA,2021-04-06
70,BERKA JOSELEWICZA,21B,PARULE AGNIESZKA,2022-01-17
71,BIAŁOPRĄDNICKA,32/12,KONDERAK TATIANA,2018-09-04
72,BIAŁORUSKA,8B,CISAK MARIA,2018-02-25
73,BIEŃCZYCKA,19,"MATUŁA JACEK, CZEKAJ WOJCIECH",2017-02-06
74,BIEŃCZYCKA,19,"CZEKAJ WOJCIECH, MATUŁA JACEK",2022-02-06
75,BIEŃCZYCKA,168 lok. 201,"BUCKA WERONIKA, KLĘK JÓZEF",2017-02-08
